station_id,sensor_id,"latitude (degree)","longitude (degree)",date_time,"sea_floor_depth_below_sea_surface (m)","averaging interval (s)"
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.560,-50,2012-04-03T08:00:00Z,5390.947,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.563,-49.99,2012-04-03T08:15:00Z,5390.967,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.567,-49.99,2012-04-03T08:30:00Z,5390.984,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.568,-49.98,2012-04-03T08:45:00Z,5390.998,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.72,-50,2012-04-03T09:00:00Z,5391.010,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.70,-50,2012-04-03T09:15:00Z,5391.016,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.70,-50,2012-04-03T09:30:00Z,5391.014,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.65,-50,2012-04-03T09:45:00Z,5391.011,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.66,-50,2012-04-03T10:00:00Z,5391.001,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.72,-50,2012-04-03T10:15:00Z,5390.990,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.74,-50,2012-04-03T10:30:00Z,5390.971,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.76,-50,2012-04-03T10:45:00Z,5390.949,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.77,-50,2012-04-03T11:00:00Z,5390.926,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.77,-50,2012-04-03T11:15:00Z,5390.901,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.80,-50,2012-04-03T11:30:00Z,5390.873,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.80,-50,2012-04-03T11:45:00Z,5390.842,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.81,-50,2012-04-03T12:00:00Z,5390.809,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.80,-50,2012-04-03T12:15:00Z,5390.776,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.82,-50,2012-04-03T12:30:00Z,5390.740,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.84,-50,2012-04-03T12:45:00Z,5390.706,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.86,-50,2012-04-03T13:00:00Z,5390.672,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.87,-50,2012-04-03T13:15:00Z,5390.641,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.87,-50,2012-04-03T13:30:00Z,5390.607,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.87,-50,2012-04-03T13:45:00Z,5390.578,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.89,-50,2012-04-03T14:00:00Z,5390.550,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.93,-50,2012-04-03T14:15:00Z,5390.526,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.95,-50,2012-04-03T14:30:00Z,5390.505,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,38.00,-50,2012-04-03T14:45:00Z,5390.487,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,38.05,-50,2012-04-03T15:00:00Z,5390.474,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T15:15:00Z,5390.466,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T15:30:00Z,5390.461,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T15:45:00Z,5390.460,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T16:00:00Z,5390.464,900
urn:ioos:station:wmo:44401,urn:ioos:sensor:wmo:44401::tsunameter0,37.56,-50,2012-04-03T16:15:00Z,5390.473,900
