station_id,sensor_id,"latitude (degree)","longitude (degree)",date_time,"depth (m)","sea_water_salinity (psu)"
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,2.00,33.60
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,4.00,33.60
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,7.00,33.76
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,10.00,34.15
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,13.00,34.35
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,16.00,34.48
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,20.00,34.58
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,23.00,34.74
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,26.00,34.73
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,30.00,35.57
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,33.00,35.69
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,37.00,36.07
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,41.00,36.28
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,44.00,36.38
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,48.00,36.43
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,52.00,36.48
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,55.00,36.50
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,59.00,36.49
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,62.00,36.49
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,66.00,36.47
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,70.00,36.46
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,74.00,36.45
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,77.00,36.45
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,81.00,36.44
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,85.00,36.43
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,89.00,36.41
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,92.00,36.41
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,96.00,36.41
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,100.00,36.40
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,104.00,36.39
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,107.00,36.39
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,111.00,36.39
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,114.00,36.38
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,118.00,36.38
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,121.00,36.38
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,125.00,36.39
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,129.00,36.39
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,133.00,36.36
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,137.00,36.33
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,141.00,36.32
urn:ioos:station:wmo:48910,urn:ioos:sensor:wmo:48910::gct1,28.381,-89.714,2010-09-13T06:09:00Z,145.00,36.31
